id,bm,translation,target_lang,contributor_name,created_at
2599,নিগদানি অকরলেতা কীয়া,কাঁপতে শুরু করলে কেনো,bengali,Arnab,2026-07-29 20:55:56.251063+00
2600,ওতানো কিতা করতেউতা,ওগুলো দিয়ে কি করবা,bengali,Rupa Moni,2026-07-29 20:55:58.736522+00
2601,হারু ইলে তা,খুশি হয়েছো,bengali,Arnab,2026-07-29 20:56:11.540405+00
2602,তিক না সহি,রাগ করো না,bengali,Arnab,2026-07-29 20:56:23.397572+00
2603,বাহানা নাপার মরে তি,আদর করো না আমাকে তুমি,bengali,Arnab,2026-07-29 20:56:36.904676+00
2604,ওটা না আতিস,ওগুলো হাত দিয়োনা,bengali,Rupa Moni,2026-07-29 20:56:53.625659+00
2605,তোরে বেলিয়া থা নুয়ারিম,তোমাকে ছাড়া থাকতে পারবো না,bengali,Arnab,2026-07-29 20:57:01.056208+00
2606,ওটা ধরলে আত হান ধইস,ওগুলো ধরলে হাত ধুয়ে নিও,bengali,Rupa Moni,2026-07-29 20:58:00.503201+00
2607,মি এতা হাদানাপাউরি,আমি এসব পছন্দ করি না,bengali,Arnab,2026-07-29 20:58:43.582489+00
2608,হাতুরা পারোর গো,সাঁতার কাটতে পারো,bengali,Arnab,2026-07-29 20:59:13.319747+00
2609,দাপদিলে চকথা ইতেই,দৌড়লে ক্লান্ত হবে,bengali,Arnab,2026-07-29 20:59:38.291752+00
2610,মিউও নুয়ারিম,আমিও পারব না,bengali,Rupa Moni,2026-07-29 20:59:43.82591+00
2611,নাউ ইম,হবো না,bengali,Rupa Moni,2026-07-29 21:00:13.943297+00
2612,দাপদে পারুরি,দৌড়াতে পারি,bengali,Rupa Moni,2026-07-29 21:00:42.702094+00
2613,তি খানি জিরা,তুমি একটু বিশ্রাম নাউ,bengali,Rupa Moni,2026-07-29 21:01:38.582856+00
2614,হওয়িয়া আসু,রেগে আছি,bengali,Arnab,2026-07-29 21:01:53.396418+00
2615,মরে না লারাদি,আমাকে রাগিও না,bengali,Arnab,2026-07-29 21:02:06.244427+00
2616,"হাতুরানি পারুরি","সাঁতার কাটতে পারি",bengali,Rupa Moni,2026-07-29 21:02:13.412648+00
